No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Column1,Lateral Helper,Ball (mph),Spin (rpm),Spin Axis (deg),Column2,Spin Axis Helper,Launch V (deg),Launch H (deg),Column3,Launch H Helper,Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
378,228.6,0.4,229.1,17.4,R,17.4,167.1,5517,4.3,R,4.3,28.9,2.9,R,2.9,9.6,264.1,-,-,15,77,50,Standard
379,147.7,1.3,149,22.1,L,-22.1,110,6551,0,,0,21.6,8.6,L,-8.6,6.1,98,-,-,15,77,50,Standard
380,244.2,0.8,245,57.9,L,-57.9,171.4,7793,15,L,-15,14.2,8.6,L,-8.6,8.3,166.3,-,-,15,77,50,Standard
381,192,2.4,194.4,13.7,R,13.7,131.4,5103,4.3,R,4.3,20.5,2.9,R,2.9,7.1,130.7,-,-,15,77,50,Standard
382,189.5,2.2,191.8,0,,0,131.4,5517,15,R,15,20.5,4.3,L,-4.3,7.1,130.6,-,-,15,77,50,Standard
383,192.4,1.5,194,8,L,-8,135.7,6344,6.4,R,6.4,18.4,4.3,L,-4.3,7.2,130.7,-,-,15,77,50,Standard
384,225.3,6.2,231.6,50.5,L,-50.5,140,2827,12.9,L,-12.9,18.4,10,L,-10,7,117.6,-,-,15,77,50,Standard
385,255.8,1.4,257.2,16.1,R,16.1,175.7,7379,2.1,L,-2.1,11.1,4.3,R,4.3,8.2,147.6,-,-,15,77,50,Standard
386,213.8,0.6,214.4,24,L,-24,154.3,5724,10.7,L,-10.7,26.8,2.9,L,-2.9,8.8,220,-,-,15,77,50,Standard
387,247.8,1.3,249.2,2.9,R,2.9,167.1,4689,2.1,R,2.1,24.7,0,,0,9.2,230.9,-,-,15,77,50,Standard
